STATION;STATION_NAME;ELEVATION;LATITUDE;LONGITUDE;DATE;PRCP;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMAX;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMIN;Measurement Flag;Quality Flag;Source Flag;Time of Observation
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030429;47; ; ;s;9999;255; ; ;s;9999;119; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030430;0; ; ;s;9999;300; ; ;s;9999;125; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030501;0; ; ;s;9999;312; ; ;s;9999;137; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030502;0; ; ;s;9999;292; ; ;s;9999;175; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030503;0; ; ;s;9999;268; ; ;s;9999;176; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030504;0; ; ;s;9999;254; ; ;s;9999;146; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030505;0; ; ;s;9999;248; ; ;s;9999;159; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030506;0; ; ;s;9999;264; ; ;s;9999;171; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030507;34; ; ;s;9999;233; ; ;s;9999;125; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030508;0; ; ;s;9999;200; ; ;s;9999;84; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030509;0; ; ;s;9999;248; ; ;s;9999;106; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030510;8; ; ;s;9999;248; ; ;s;9999;153; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030511;27; ; ;s;9999;213; ; ;s;9999;139; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030512;0; ; ;s;9999;255; ; ;s;9999;143; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030513;0; ; ;s;9999;262; ; ;s;9999;135; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030514;9; ; ;s;9999;225; ; ;s;9999;141; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030515;1; ; ;s;9999;221; ; ;s;9999;137; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030516;46; ; ;s;9999;225; ; ;s;9999;153; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030517;0;T; ;s;9999;268; ; ;s;9999;120; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030518;0; ; ;s;9999;285; ; ;s;9999;152; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030519;0; ; ;s;9999;276; ; ;s;9999;177; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030520;0; ; ;s;9999;310; ; ;s;9999;135; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030521;0; ; ;s;9999;310; ; ;s;9999;159; ; ;s;9999
